Gold Weekend,,,Sunday,,Red Weekend,,,Sunday,All layouts
Hole,Short Pad,Long Pad,Sunday,,Hole,Short Pad,Long Pad,Sunday,Notes
1,268',350',,,1,208',289',,Parking lot flagged OB
2,467',528',,,2,396',455',,
3,296',371',,,3,294',353',,Left side of fairway staked OB
4,269',269',,,4,230',230',,Over fence OB
5,243',269',,,5,216',243',,Over fence OB
6,267',371',322'/424',,6,197',301',256'/360',Over fence OB
7,647',771',,,7,504',661',,Mando left of marked tree. Drop zone is Short pad. Marked area is OB. Over fence OB.
8,436',470',,,8,401',421',,Marked area is OB
9,235',291',,,9,193',251',219'/278',Island Green. If you miss the island go to drop zone 
10,222',237',258'/273',,10,222',237',,
11,272',331',,,11,267',331',,
12,437',566',,,12,297',436',457'/572',
13,508',541',,,13,535',574',,Over fence OB
14,396',439',,,14,328',365',,
15,296',325',320'/354',,15,242',271',,
16,250',287',,,16,212',254',,On/over Road OB
17,206',269',,,17,206',269',,
18,414',467',,,18,399',454',,Parking lot flagged OB